id,year,notary,rollo,image_num,text_original,label_primary,label_extended,wikidata_uri
1,1653,Esteban Agreda de Vergara,38,22,carta de pago en favor de pedro en rriquez - bernardo derreyna.,Header,Header - payment,https://www.wikidata.org/wiki/Q1141160
2,1653,Esteban Agreda de Vergara,38,22,enla çiud delattr d puerto debuenos ayres entres dias del mes desetiembre de mill yseis çientos ysin quenta ytres años.,year,year and place,https://www.wikidata.org/wiki/Q577
3,1653,Esteban Agreda de Vergara,38,22,ante mi elescrivano ytestigos pareçio pedro en rri ques morador enesta ciud departida parala desevilla enel nvio nombrado sansalvador surto enestepuerto quevino derregistro de quees dueño ycapn enrri que jacome deu rrea.,Parties,Parties and their places of residence,https://www.wikidata.org/wiki/Q60981922
4,1653,Esteban Agreda de Vergara,38,22,donde traygo plassa de con dees table en nombre y envos de simon tama rino yjuansimon moron mercaderes vene çianos vzs deladha çiud desevilla.,Parties,Parties; their places of residence; occupation,https://www.wikidata.org/wiki/Q60981922
5,1653,Esteban Agreda de Vergara,38,22,yen virtud desupoder quelefue sostituydo alotorgante por peli grun colombo vz yombre denegoçios enlaçiud de cadis.,Parties,Parties; their places of residence; occupation,https://www.wikidata.org/wiki/Q60981922
6,1653,Esteban Agreda de Vergara,38,22,cuyo tenor deldho poder y sosti tuçion alaletracomo estan enpapelsellado es como sesigue.,Legal,Legal conditions,https://www.wikidata.org/wiki/Q2210557
7,1653,Esteban Agreda de Vergara,38,22,sepan quantos esta carta vieren comoyo simonta ma ñino yjuansimon moron mer ca deres vene sianos vzs desta çiud desevilla enla colla çion desanta maria.,Notificatio,Notificatio and Intitulatio,https://www.wikidata.org/wiki/Q104150592; https://www.wikidata.org/wiki/Q1671500
8,1653,Esteban Agreda de Vergara,38,22,ambos deuna conformidad otorgamos ycono semos que damos todo nuestro poder cumplido quanbastante dedro serre quiere a pelegrin yjacome colombo vzs delaçiudad de cadis.,Institutio,Institutio,https://www.wikidata.org/wiki/Q178706
9,1653,Esteban Agreda de Vergara,38,22,ya donjuan detruxillo quede presente ba alaprovinçia detierra firme enlos galeones quedeprossimo sea prestan.,Parties,Parties and their places of residence,https://www.wikidata.org/wiki/Q60981922
10,1653,Esteban Agreda de Vergara,38,22,y acada uno ynsolidum para que en nuestros nombres puedan pedir ydemandar rresevir ycobrar judiçial yestra judiçialmente debernardo derreyna vezino desta çiudad.,Institutio,Institutio,https://www.wikidata.org/wiki/Q178706
11,1653,Esteban Agreda de Vergara,38,22,quetenemos notiçia queseenbarca enlos dhos galeones yque rresidedepresente enladha çiudad de cadis.,Circumstance,Circumstance of party,https://www.wikidata.org/wiki/Q19037978
12,1653,Esteban Agreda de Vergara,38,22,ydesus bienes y de quien conderecho devan çinco mill quatroçientos ysesenta y çinco rreales deplatta doble.,Amount,Amount involved,https://www.wikidata.org/wiki/Q309314
13,1653,Esteban Agreda de Vergara,38,22,ytres mill y quatro çientos y treinta ydos rreales debellon queeldho bernardo derreyna nos deve por dos vales firmados desunombre.,Amount,Amount involved,https://www.wikidata.org/wiki/Q309314
14,1653,Esteban Agreda de Vergara,38,22,ytres mill y quatro çientos y treinta ydos rreales debellon queeldho bernardo derreyna nos deve por dos vales firmados desunombre.,Parties,Parties; their places of residence; occupation,https://www.wikidata.org/wiki/Q60981922
15,1653,Esteban Agreda de Vergara,38,22,como consta delos dhos dos bales firmados desu nombre sus fechas enesta çiudad enprimero desetiembre deste presente año.,Circumstance,Circumstance of the deed,https://www.wikidata.org/wiki/Q19037978
16,1653,Esteban Agreda de Vergara,38,22,quepor los dhos co rredores delonja estan rre cono si das anteelpresente escrivano publico oydia delafecha desta.,Reassurance,Reassurance,https://www.wikidata.org/wiki/Q16868597
17,1653,Esteban Agreda de Vergara,38,22,queel originalmente llebamos en nuestro poder para les rremitir con el a quenos rreferimos.,Circumstance,Circumstance of the deed,https://www.wikidata.org/wiki/Q19037978
18,1653,Esteban Agreda de Vergara,38,28,onsierto pedro yndio de la encomienda dedon po luis decabrera vzo dela ciud decordova confeliçiano detorres por tiempo de 4 meses a seis pesos por cadames.,Header,Header-Agreement to work-Indian from encomienda,https://www.wikidata.org/wiki/Q1141160
19,1653,Esteban Agreda de Vergara,38,28,enlaciud delattrd puerto debuenos ayresen dos dias delmes desetiembre demill yseisçientos ysinqta ytres años. antemi elpresente escrivano ytestigos.,year,year and place,https://www.wikidata.org/wiki/Q577
20,1653,Esteban Agreda de Vergara,38,28,Ycon asistencia del capn don franco devasques me lendes teniente gl de gor ycapn gl enestas provin çias delrrio delaplatta porsu magd.,Parties,Parties and their places of residence,https://www.wikidata.org/wiki/Q114489115; https://www.wikidata.org/wiki/Q699402
21,1653,Esteban Agreda de Vergara,38,28,pareçio unyndio lla mado pedro natural delaçiud decordova delaencomien da del capndonpo luis decabrera.,Parties,Parties; their qualities and their places of residence,https://www.wikidata.org/wiki/Q114489115; https://www.wikidata.org/wiki/Q699402
22,1653,Esteban Agreda de Vergara,38,28,ydesuboluntad dixo quese quiere consertar conelal ferez feliçiano de torres rresidente enestaçiud vzo delaçiud desantafee.,Parties,Parties and their places of residence,https://www.wikidata.org/wiki/Q114489115; https://www.wikidata.org/wiki/Q699402
23,1653,Esteban Agreda de Vergara,38,28,portiempo dequa tro meses arrazon de aseis pesos dea ocho rreales por cada mes.,Agreement,Lenght of agreement and amount involved,https://www.wikidata.org/wiki/Q829903; https://www.wikidata.org/wiki/Q309314
24,1653,Esteban Agreda de Vergara,38,28,queleadeyr pagando como lo fuere sirviendo ya quenta ledio peso y mo queconfeso aver rresevido deldho alferes feliçiano.,Legal,Legal conditions,https://www.wikidata.org/wiki/Q2210557
25,1653,Esteban Agreda de Vergara,38,28,yenloqual adeser creydo eldho feliciano detorre consusimplejura mento.,Oath,Oath,https://www.wikidata.org/wiki/Q381045
26,1653,Esteban Agreda de Vergara,38,28,ylea dedar decomer ycura lleensus enfermedades yhazerle buen tratamiento.yeldho pedro no sees cusara detrabaxar.,Legal,Legal conditions,https://www.wikidata.org/wiki/Q2210557
27,1653,Esteban Agreda de Vergara,38,28,yduranteel dho tiempo delos quatro meses no leade poder des pedir ni yrse eldho yndio pedro ysi lo despidiere leade pagar debaçio.,Legal,Legal conditions,https://www.wikidata.org/wiki/Q2210557
28,1653,Esteban Agreda de Vergara,38,28,yeldho pedro si se fuere yausentare lepagara las fallas quelehiziere consola estaescriptura lepuedan compeler aque lea cave deservir eldho tiempo.yquele puedansacar delpoder dedondeestubiere.,Legal,Legal conditions,https://www.wikidata.org/wiki/Q2210557
29,1653,Esteban Agreda de Vergara,38,28,yeldho alferez feliçiano detorres ygarnica a quien yo elescrivano doyfee conosco yaseto este consierto queeldho pedro ahecho por eldho tiempo dequatro meses por seis pesos cada mes enquese an consertado queleadepagar como lofuere sirbiendo.,Reassurance,Reassurance,https://www.wikidata.org/wiki/Q16868597
30,1653,Esteban Agreda de Vergara,38,28,enque adeser creydo consujuramento. ya sucumplimiento cadauno porlo queletoca obli garonsus personas ybienes.,Binding,Reassurance and binding clause,https://www.wikidata.org/wiki/Q15725999
31,1653,Esteban Agreda de Vergara,38,28,ydieron poder cumplido atodas las justas desumagd para queselo hagan cumplir.,Binding,Binding clause,https://www.wikidata.org/wiki/Q15725999
32,1653,Esteban Agreda de Vergara,38,28,yeldho srteniente aprovo esteconsierto ylos otorgantes rrenunçiaron laleyes desufavor ylagl rrenunçiaçion deleyes.,Disallowance,Disallowance,https://www.wikidata.org/wiki/Q3045049
33,1653,Esteban Agreda de Vergara,38,28,yeldho feliçiano detorres lo firmo coneldho señor teniente gl.,Validation,Validation,https://www.wikidata.org/wiki/Q359176
34,1653,Esteban Agreda de Vergara,38,28,siendo testigos jua gl rrelus yjua bautista del oyo yfrano albiz presentes.,Reassurance,Reassurance,https://www.wikidata.org/wiki/Q16868597
35,1653,Esteban Agreda de Vergara,38,28,feliciano de torres garnica. d fran velazqz melendes.,Parties,Parties,https://www.wikidata.org/wiki/Q60981922
36,1653,Esteban Agreda de Vergara,38,28,atemy. estevan agreda devergara. es mor de gon. dros 4 rs foxa.,Validation,Validation,https://www.wikidata.org/wiki/Q359176
37,1653,Esteban Agreda de Vergara,38,28,poder gl delal ferez adriano deesquivel para pleytos al capn jua rramirez de arrellano.,Header,Header - power of attorney to represent in trials,https://www.wikidata.org/wiki/Q1141160
38,1653,Esteban Agreda de Vergara,38,29,sepan quantos esta carta depoder vieren comoyo el alferez adriano dees quivel.,Notificatio,Notification,https://www.wikidata.org/wiki/Q104150590
39,1653,Esteban Agreda de Vergara,38,29,vzo dela ciud desan juan devera delas siete Corrientes rresi dente enesta ciud dela ttd puerto debuenos ayres.,Residence,Residence of party,https://www.wikidata.org/wiki/Q699405
40,1653,Esteban Agreda de Vergara,38,29,otorgo quedoytodo mi poder cumplido librelleno dela sustancia quededro serrequiere. ael capn juan rramirez de arellanomorador enesta dha ciud.,Dispositio,Dispositio,https://www.wikidata.org/wiki/Q1149305
41,1653,Esteban Agreda de Vergara,38,29,glmente paratodos mis playtos e causas seviles ycriminales queyo eytengo y esperotener movidos epor mover.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
42,1653,Esteban Agreda de Vergara,38,29,conquales quier personas asi en demandando como endefendiendo.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
43,1653,Esteban Agreda de Vergara,38,29,ysobreellos o qualesquier parte dellos pueda pareser enjuiçio o fueradel ante quales quier jueses yjustas desumagd de quales quier partes quesean.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
44,1653,Esteban Agreda de Vergara,38,29,con que no rresponda a nueba de manda hastatanto que enpersona semeaya notificado.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
45,1653,Esteban Agreda de Vergara,38,29,y anteotras quales quier ecleçiasticas quedemis causas ypleytos puedan ydevan conoser.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
46,1653,Esteban Agreda de Vergara,38,29,yquales quier defençiones poner yhazer quales quier provansas que a midro conbengan.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
47,1653,Esteban Agreda de Vergara,38,29,y poner tachas enlas contrarias ypresentar quales quier escrituras quemeconbengan aunque este pleyto con cluso.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
48,1653,Esteban Agreda de Vergara,38,29,ypedir publicacion delastales provansas yescrituras ycon cluir lostales pleitos asi parasentençias ynterlocutorias como difinitivias.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
49,1653,Esteban Agreda de Vergara,38,29,yconsentir en las que enmi favor sedieren yapelar ysuplicar delas en con trario.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
50,1653,Esteban Agreda de Vergara,38,29,yseguir los tales pleytos entodas las yns tançias quepersonalmente yo po dria.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
51,1653,Esteban Agreda de Vergara,38,29,y paraqueasi mes mo pueda pedir tasacion delas costas de los dhos pleitos y rresevir los pessos en quelas otras partes fueren condenados.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
52,1653,Esteban Agreda de Vergara,38,29,ypara rre cussar quales quier jueses yescrivanos queuviere sean necesarios yhaser quales quier jura mentos que nesesario sean yle fueren pedidos.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
53,1653,Esteban Agreda de Vergara,38,29,yhazer yhaga todas las diligençias y autos judiçiales yestrjudiçiales queyo mismo haria presente siendo.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
54,1653,Esteban Agreda de Vergara,38,29,ypara quepueda enmi nombre sostituir unpro curador dos o mas ya quellos rrebocar yotros denuebo criar.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
55,1653,Esteban Agreda de Vergara,38,29,por quepara todo ledoy estepo der cumplido conlibre ygl administraçion contodas sus ynsidençias ydependen çias oara en quanto alos dhos mis pleytos.,Expositio,Expositio,https://www.wikidata.org/wiki/Q2642214
56,1653,Esteban Agreda de Vergara,38,29,ylerrelievo de cauçion yfiansa enforma segun derecho.,Limitation,Limitation,https://www.wikidata.org/wiki/Q105766481
57,1653,Esteban Agreda de Vergara,38,29,yobligo me con mi per s onaybienes deguardar yaver porfir me todo lo queen mi nom bre hiziere.,Binding,Binding clause,https://www.wikidata.org/wiki/Q15725999
58,1653,Esteban Agreda de Vergara,38,29,entestimonio delo qual otorgue esta carta depoder ante el presente escrivano ytestigos.,Reassurance,Reassurance,https://www.wikidata.org/wiki/Q16868597
59,1653,Esteban Agreda de Vergara,38,29,eyo elescrivano doyfee conosco alotor gante quelo firmo enel rre guistro.,Reassurance,Reassurance,https://www.wikidata.org/wiki/Q16868597
60,1653,Esteban Agreda de Vergara,38,29,siendo testigos ellldo diego rro sendo clerigo presvitero. ydondiego paes de Clavijo yjua gonsalez rrelus presentes.,Validation,Validation,https://www.wikidata.org/wiki/Q359176
61,1653,Esteban Agreda de Vergara,38,29,quees fecho enla çiud delatrd puerto debuenos ayres en nueve dias del mes desetiemb demill yseis çien tos ysinqta ytres años.,year,year and place,https://www.wikidata.org/wiki/Q577; https://www.wikidata.org/wiki/Q98929991
62,1653,Esteban Agreda de Vergara,38,29,baenpapel comun que es enelquese des pachaen confor midad delo acordado en esta rrazon.,Circumstance,Circumstance of the deed,https://www.wikidata.org/wiki/Q19037978
63,1653,Esteban Agreda de Vergara,38,29,adriano desquibelatemy estevan agredadevrga.,Signatures,Signatures,https://www.wikidata.org/wiki/Q188675
64,1653,Esteban Agreda de Vergara,38,30,poder gl delalferez feliciano detorres para pleytos ycobransas adon diego paez clavijo y al comiso gl fernando nan dela guila ynsolidum con facultad desustituirlo.,Header,Header - power of attorney to represent in trials and receive payments,https://www.wikidata.org/wiki/Q1141160
65,1653,Esteban Agreda de Vergara,38,30,sepan quantos esta carta depoder vieren como yo el alferez feli çiano detorrez garnica vzo dela çiud desantafee rresi dente en esta çiud dela ttr dpuerto debuenos ayres.,Notificatio,Notificatio,https://www.wikidata.org/wiki/Q104150590
66,1653,Esteban Agreda de Vergara,38,30,otorgo que doy mi poder cumplido bastante qual dedro serrequiere adondiego paez clavijo yal comiso gl fer nando nuño del aguila.,Dispositio,Dispositio,https://www.wikidata.org/wiki/Q1149305
67,1653,Esteban Agreda de Vergara,38,30,y a cadauno y qual quiera dellos dep or si ynsolidum para queen minombre ayan rresiban yco bren de todas y quales quier per zonas ydesus bienes y de quien y condro puedan ydevan todas yquales quier quentas de pesos plata oro rreales joyas esclavos bienes mercaderias de castilla o delatierra delparaguay y otras partes.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
68,1653,Esteban Agreda de Vergara,38,31,yerb adelpara guay tabaco asucar pavilo algodon vino yerro ganados mayores ymenores yeguas caballos mulas carretas yotros quales quier jeneros yespeçies e frutos delatierra aunque a qui no sedeclaren yespeçial mençion dello se rrequiera.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
69,1653,Esteban Agreda de Vergara,38,31,yseme devan ydevieren asi alvaseas yerederos depositarios caxas rreales ydebienes de fi funtos oporescri pturas deobliga çionceçiones lastos transaçiones manda mientos pleytos sentençias fleta mentos consignaçiones erençias rrestituçiones clausulas detesta mentos codisilios quen tas delibros ycorrientes yqueenotra qualesquier manera semedevan ydebieren.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
70,1653,Esteban Agreda de Vergara,38,31,aun quelas dhas deudas seancausadas antes o des pues delotor ga miento deste poder.,Limitation,Limitation,https://www.wikidata.org/wiki/Q105766481
71,1653,Esteban Agreda de Vergara,38,31,ydelo que rresi vieren ycobraren puedandar yotorgar sus cartas depago fin y quito lasto y chanselaçion ylos demas rrecaudos que convengan conse çion demis dros y ac çiones.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
72,1653,Esteban Agreda de Vergara,38,31,yrrenun çiaçion delaesepçion yleyes delape cunia yentrega eprueba della enlo queno fuere depresente por antees crivano quedello de fee.,Disallowance,Disallowance,https://www.wikidata.org/wiki/Q3045049
73,1653,Esteban Agreda de Vergara,38,31,ysi enrraz on de las co bransas ycadauna yqualquier dellas fuerene sesario contienda dejuiçio como glmente entodos mis pleytos causas ynegoçios ceviles ycri minales ecleçiastigos yseglares movidos ypor mover que alpresente tengo etubiere contra quales quier personas ysus bienes ylastales contra my ylos mios asi demandandando como defendiendo y en otra qualquier manera conque no rres pondan a nueba demanda ni pedi mento que nueba mente seme aya puesto o ponga sin que primero semenotifique enpersona.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
74,1653,Esteban Agreda de Vergara,38,31,y constan do les dello parescan antequales quier jueses y justas desu magd de quales quier partes quesean.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
75,1653,Esteban Agreda de Vergara,38,31,yanteellos y qual quier dellos haganypongan demandas pedi mentos rre queri mientos contradi çiones protesta ciones querellas a cusaçiones enbargos de enbargos secretos depo sitos execuçiones pri çiones solturas bentas transes rremate debienes.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
76,1653,Esteban Agreda de Vergara,38,31,ytomen supo seçion yla continúen presenten testigos escripturas probansas y otros rrecaudos quepida ysa quen depoder dequien los hubiere ydevadar.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
77,1653,Esteban Agreda de Vergara,38,31,y quales quier provi çiones sobre cartas y sensuras hastalade anatema que haganleer ynotificar donde y aquien convenga.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
78,1653,Esteban Agreda de Vergara,38,31,piyearrminos quartos plasos ylos goçen orrenunçien declinen juridiçion pidan benefiçio derrestituçion ynyntegrum abo nen todo lo por mi parte fecho y auticado.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
79,1653,Esteban Agreda de Vergara,38,31,ylo de conrtario tacheny contradigan endhos yenpersonas hagan rre cusaçiones de jueses aseso res letrados escrivanos y otras personas yse aparten dellas ylas buelban ahaser yenmi anima qualesquier juramentos de calunia ydesisorio yotros queserre quieran disiendo verdad.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160
