id,year,notary,rollo,image_num,text_original,label_primary,label_extended,wikidata_uri,text_english,text_chinese
193,1653,Esteban Agreda de Vergara,38,105,a cuya disposision fallecio el dho mi padre yotorgo serrado quepor sufin ymuerte seabrio ypublico conla solemnidad dellderecho antepablo nunes escriv publico ycavildo desta dha en tres dias delmes defebrero ano pasado demill yseis çientos ytreynta ynuebe.,Reassurance,Reassurance; year and place,https://www.wikidata.org/wiki/Q39545186; https://www.wikidata.org/wiki/Q858423; https://www.wikidata.org/wiki/Q98929991,"At whose disposal my father died and I confess that by his end and death he was open and public with the solemnity of the right of Ante Pablo, who wrote publicly and silently this day on three days in the month of February last year, one thousand and six hundred and thirty and nine.",我的父亲在他的处置下去世了，我承认，在他的去世和去世时，他以安特·巴勃罗的权利庄严地公开和公开，他在去年二月的三天里公开地、默默地写作了，一千六百三十零九。
397,1658,Nicolas de Valdivia y Brisuela,40,188,y es ffa el presente en nuebe dias del mes de marso demil y seisçientos y sinquenta y ocho años.,year,year,https://www.wikidata.org/wiki/Q577,and the present is ffa on nine days of the month of March one thousand and six hundred and fifty and eight years.,现在是一千六百五十八年三月九日的FFA。
279,1658,Nicolas de Valdivia y Brisuela,40,177,ytodo loque que enbirtud deste hisieren y obraren lo abre sienpre firme y baledero como sy io en persona hisiese y obrase y delo que recisbiese daran sus cartas depago finyquito lasto y chanselaçion enforma con renunçiasion dela pecunia y leyes dela entrega.,Scope,Scope of deed; disalowance,https://www.wikidata.org/wiki/Q472160,"and everything that they do and act in the power of this will always be firm and clear as if they did and acted in person, and from what they received they would give their letters of payment in full, final payment and exchange in form with waiver of the money and laws of delivery.",他们在此权力范围内所做的一切都将始终坚定而清晰，就像他们亲自所做和采取的行动一样，并且根据他们收到的信息，他们将全额支付付款函，以放弃货币和交付法的形式进行最终付款和交换。
178,1653,Esteban Agreda de Vergara,38,102,ydeotro qual quier auto oagravio apele ysuplique ydiga denulidad ysiga el apelaçion ysuplicaçion donde y con der deva.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160,and from another whoever car or grievance appeal and supplication and say annulment and follow the appeal and supplication where and with der deva.,以及来自另一个人的汽车或申诉上诉和恳求，并说废止，并在德瓦的地方和与德瓦一起遵循上诉和恳求。
633,1658,Nicolas de Valdivia y Brisuela,40,206,como parese por ellas y de mas detodo lo dho eresebido y ede resebir enla siu de cordoba adonde seme ade remityr lacantidad de sien almadanetas de fierro que pesan siento y ochenta y siete quintales.,Asset,asset; iron hammer; weight; quantity,https://www.wikidata.org/wiki/Q46737,"as it seems from them and more of all that is known and can be reported in the siu of Cordoba where it is appropriate to send the quantity of seven iron mulches weighing 180,000 hundredweight.","从他们看来，以及更多已知的和可以在科尔多瓦的siu报告的情况，在那里发送七块重达180,000英担的铁覆盖物是合适的。"
915,1653,Esteban Agreda de Vergara,38,20,yconsentimos queste cono simiento sesaquen uno dos otres o mas tras lados.,Binding,Binding clause,https://www.wikidata.org/wiki/Q15725999,"and we allow this with the food to be taken out one, two or more on each side.",我们允许将食物从每一侧取出一个、两个或多个。
712,1658,Nicolas de Valdivia y Brisuela,40,213,y aran quales quier pedimyentos requerimientos presentaçiones de todo jenero de escritos y de testigos.,Scope,scope of deed,https://www.wikidata.org/wiki/Q472160,"and will request any requests or requests, presentations of all types of documents and witnesses.",并将要求提供所有类型的文件和证人的任何要求或要求。
470,1658,Nicolas de Valdivia y Brisuela,40,192,y que nolo tenemos ypotecado ny asensuado en poco nien mucho eldho pedaso desolar.,Asset,qualities of asset; plot,https://www.wikidata.org/wiki/Q46737,and that we do not have it and possess it nor agree on it in little nor in much the desolate piece.,我们没有拥有它，也没有拥有它，也没有在这片荒凉的土地上达成共识。
826,1658,Nicolas de Valdivia y Brisuela,40,246,digo que porquanto al serviçio de Dios nro señor y de su vendita madre esta tratado y consertado de que aya de casar y cassser por palabras de pressente que agan legitimo y verdadero matrimonio my hija lejitima y de el dicho mi marido llamada da jua de assaña con tomas nuñes de chaves.,Expositio,Expositio,https://www.wikidata.org/wiki/Q2642214,I say that because in the service of God my Lord and his vendita mother are treated and confirmed that it is time to marry and be married by the words of the press that they have made a legitimate and true marriage to my legitimate daughter and from him said my husband called da jua de assaña with tomas nuñes de chaves.,我这么说是因为在上帝的服务中，我的勋爵和他的母亲受到了对待并确认是时候结婚了，并且通过媒体的报道他们已经与我的合法女儿建立了合法和真实的婚姻，并从他那里说我的丈夫与托马斯·努涅斯·德·查韦斯一起被称为“da jua de assaña”。
427,1658,Nicolas de Valdivia y Brisuela,40,191,que confieso e resebido real mente y con efecto demano de desum sobre que renuncio ala pecunia y leyes dela entrega con la doy por contento y entregado toda satisfaçion.,Disallowance,Disallowance,https://www.wikidata.org/wiki/Q3045049,that I confess and have truly and with the effect of desummation effect that I renounce the money and laws of delivery with which I consider myself content and given all satisfaction.,我承认，我确实放弃了我认为自己满意并给予所有满意的金钱和交付法则。
391,1658,Nicolas de Valdivia y Brisuela,40,188,y hoyran setençias difinytibas oynter locutorias y de ellas y de otros autos apelen o supliquen entodo o parte admitiendo lo faborable y replicar sobre lo perjudicial.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160,"and today they will setençias difinytibas oynter locutorias and from them and from other orders they appeal or plead in whole or in part, admitting what is favorable and replying about what is harmful.",今天，他们将根据他们的命令和其他命令，全部或部分地提出上诉或辩护，承认有利的东西，回答有害的东西。
899,1653,Esteban Agreda de Vergara,38,18,y que me deven y adelante me devieren por escripturas fletamentos cono simientos çedulas v ales libran sas quentas corrientes delibros fenesidas yacavadas poderes tras pasos clausulas detesta mentos y quepor otra qualquier caussa enrazon me pertenescan aun que aqui no sede clase yespecial mencion dello serrequiera.,Scope,Scope of deed,https://www.wikidata.org/wiki/Q472160,and that they give me and continue to give me by deeds charters as documents çedulas v ales issued those quent currents of books phenesids and excavated powers after steps clauses of detestations and that for any other reason they belong to me even if no class is established here and special mention of it is required.,他们给了我，并继续给我以契约宪章作为文件，çedulas vales发布了那些流行的书籍和在步骤后的厌恶条款后挖掘的权力，并且由于任何其他原因，它们属于我，即使这里没有建立阶级并且需要特别提及。
454,1658,Nicolas de Valdivia y Brisuela,40,190,cuyo bene fiçio renuncia con las esperas experses y las demas leyes desufabor y denfensa para lo qual hiso de deuda ajena suya pro pria y de libre deudor.,Disallowance,Disallowance,https://www.wikidata.org/wiki/Q3045049,whose benefit he renounces with the express waits and the other laws of dissatisfaction and defense for which he made a foreign debt of his own and of a free debtor.,他放弃了其利益，并以明确的等待和其他不满和辩护的法律为由，为自己和自由债务人欠了外债。
17,1653,Esteban Agreda de Vergara,38,22,queel originalmente llebamos en nuestro poder para les rremitir con el a quenos rreferimos.,Circumstance,Circumstance of the deed,https://www.wikidata.org/wiki/Q19037978,which we originally had in our possession to send you with the one to which we refer.,我们最初拥有它，以便将其与我们提到的那本一起寄给您。
